0,1
Neighborhood_Blmngtn,-1392.4823569131938
Neighborhood_Blueste,-771.3649673418003
Neighborhood_BrDale,-1914.391010278738
Neighborhood_BrkSide,-1164.8809356005916
Neighborhood_ClearCr,1725.4956749213413
Neighborhood_CollgCr,-989.5253526574411
Neighborhood_Crawfor,4216.269485839643
Neighborhood_Edwards,-5025.35702907801
Neighborhood_Gilbert,-2872.035375004983
Neighborhood_Greens,-134.45172225220648
Neighborhood_GrnHill,3962.9660400634366
Neighborhood_IDOTRR,-3380.4089025733197
Neighborhood_Landmrk,-922.6646719148447
Neighborhood_MeadowV,-3123.5977297854006
Neighborhood_Mitchel,-2905.546695968274
Neighborhood_NAmes,-3357.695093091629
Neighborhood_NPkVill,-2071.6681218384533
Neighborhood_NWAmes,-1937.6010560449995
Neighborhood_NoRidge,7168.814308570014
Neighborhood_NridgHt,15267.721462625163
Neighborhood_OldTown,-5017.844937645183
Neighborhood_SWISU,-1511.823311245502
Neighborhood_Sawyer,-2836.5658776421883
Neighborhood_SawyerW,-2916.648100092739
Neighborhood_Somerst,1771.545972779772
Neighborhood_StoneBr,12648.201449776161
Neighborhood_Timber,3472.797635683761
Neighborhood_Veenker,2541.7247466656754
Gr Liv Area,27304.457029877412
Garage Cars,11250.469398343674
Total Bsmt SF,11796.545655476328
1st Flr SF,2863.2790982984034
Year Built,9608.57173232183
Year Remod/Add,10082.466749946158
